la donna,Noun,the woman,
il libro,Noun,the book,
lo zucchero,Noun,sugar,
le donne,Noun,women,
chiusa,Noun,closed,
domani,Noun,tomorrow,
ieri,Noun,yesterday,
quanto,Adjective,how much,
quanti,Adjective,how many,
quando,,when,
pomeriggo,,afternoon,
il dotorre,Noun,the dotorre,
il dottore,Noun,the doctor,
la dottoressa,Noun,the doctor,
casa,Noun,home,
finestra,Noun,window,
lunedi,Noun,monday,
il museo,Noun,The Museum,
il parco,Noun,The Park,
la piazza,Noun,The Square,
la regione,Noun,The Region,
lo stadio,Noun,The Stadium,
il prigione,Noun,The Prison,
il posto,Noun,The place,
oppure,,or,
davverro,,It will happen,
quale,,which,
il teatro,Noun,The theatre,
il stazione,Noun,The Station,
il paese,Noun,The country,
il comunita,Noun,The Community,
il villagio,Noun,The Village,
il supermercato,Noun,The supermarket,
la strada,Noun,The Road,
senza,,without,
la griglia,Noun,The Grid,
diversi,Adjective,different,
gia,Adverb,already,
il negozio,Noun,The Shop,
il palazzo,Noun,The Palace,
la provincia,Noun,The Province,
il porto,Noun,The Port,
sai,Verb (Infinitive),You know,
il quartiere,Noun,The Neighbourhood,
la ferroviaria,Noun,The Railway,
la divisa,Noun,The uniform,
vecchio,Adjective,old,
ancora,Adjective,Anchor,still
intorno,,around,
sopra,,above,
certo,,Sure,of course
stanotte,Noun,Tonight,
la collina,Noun,The Hill,
spesso,Adjective,often,
insieme,Adjective,together,
l'angolo,,The corner,the corner
supermercato,Noun,supermarket,
diventare,Verb (Infinitive),becoming,to become
sotto,,under,
fattoria,Noun,farm,
campo,Noun,field,
centro,Noun,center,
scala,Noun,ladder,
colpire,Verb (Infinitive),hit,
caro,Adjective,expensive,
economico,Adjective,cheap,
straniero,Adjective,foreign,
giovane,Adjective,young,youngster
chiudi,Verb (Infinitive),close,
chiaro,Adjective,clear,
tappeto,Noun,carpet,
dimenticare,Verb (Infinitive),forget,
chiavi,Noun,keys,
chiave,Noun,key,
scrivania,Noun,desk,
capace,Adjective,capable,
ricco,Adjective,rich,
le docce,Noun,the showers,
successivo,,next,
spiegare,Verb (Infinitive),explain,
mi fermo,Verb (Present),i stop,
tetto,Noun,roof,
breve,,short,
borsa,,bag,
gratuito,,free,
diverso,,different,
solo,,alone,just
crescono,,raise,
crescere,,grow,
elettrico,,electric,
freddo,,cold,
correre,,to run,
per risparmiare,,to save,
salva,,save,
letto,,bed,
cuscino,,pillow,
normale,,normal,
da inviare,,to send,
manda,,send,
ovunque,,everywhere,
qui,,here,
un cuscino,,a pillow,
ascoltare,,to hear,
sento,,i hear,
il dentifricio,,the toothpaste,
il riscaldamento,,the heating,
il rasoio,,the razor,
perdere,,to lose,
sempre,,always,
lo fanno,,they do,
succede,,happens,
perdo,,i lose,
tuttavia,,anyway,
meglio,,better,
completamente,,completely,
il tempo,,the weather,
capire,,understand,to understand
capisco,,i understand,
benissimo,,very well,
oltre,,beyond,
troppo,,too,
veramente,,really,
nemmeno,,not even,
nemmeno uno,,not even one,
anche avere,,even have,
vero,,real,
circa,,approximately,
davvero,,really,
scusa,,sorry,
mi dispiace,,i am sorry,
spiacente,,sorry,
ovviamente,,obviously,
prima,,earlier,
fuori,,outside,
la sedia,,the seat,
il muro,,the wall,
la cena,,dinner,
lo sai,,you know,
appena,,as soon as,
al piu presto,,as soon as,
subito,,right away,
piuttosto,,pretty,rather
soltanto,,just,
da solo,,by yourself,
non beve mai,,never drinks,
soprattutto,,mostly,mainly
comunque,,anyway,
poi,,then,
principalmente,,mainly,
molto,,a lot,
tanto,,a lot,
anch'io,,me too,
tartaruga,,turtle,
inoltre,,besides,
offriamo,,we offer,
provare,,try,
giocare,,play,
cambiamento,,change,
io cambio,,i change,
costruisci,,you build,
la porta,,the gate,
libreria,,library,bookstore
biblioteca,,library,
il motore,,the motor,
il pettine,,the comb,
il pennello,,the brush,
il spazzola,,the brush,
la busta,,the envelope,
un diario,,a diary,
la scatola,,the box,
forma,,shape,
un pezzo,,a piece,
patente di guida,,driver's license,
i regali,,the presents,
un ventilatore,,a fan,
una tastiera,,a keyboard,
occhiali,,glasses,
occhiali da sole,,sun glasses,
il flauto,,the flute,
il violino,,the violin,
lo schermo,,the screen,
un oggetto,,an object,
foglio di carta,,sheet of paper,
foglio,,paper,
una ruota,,a wheel,
